lat_pred,lon_pred,pontoId
-8.070940181818182,-34.8963752254902,1305.0
-8.071693570247934,-34.90128256862745,723.0
-8.072748314049587,-34.89808212745098,382.0
-8.074556446280992,-34.89914894117647,664.0
-8.072145603305785,-34.88869416666667,1947.0
-8.071994925619835,-34.89168124509804,1215.0
-8.072145603305785,-34.90128256862745,451.0
-8.071994925619835,-34.89893557843137,419.0
-8.075159157024792,-34.89914894117647,670.0
-8.072446958677686,-34.90064248039216,2520.0
-8.07018679338843,-34.8963752254902,2108.0
-8.071241537190083,-34.894028235294115,1002.0
-8.071090859504132,-34.89744203921568,880.0
-8.069584082644628,-34.89850885294118,2238.0
-8.071392214876033,-34.896161862745096,2066.0
-8.067474595041322,-34.88784071568627,1890.0
-8.071542892561983,-34.89872221568628,381.0
-8.071542892561983,-34.89872221568628,998.0
-8.069885438016529,-34.89872221568628,2141.0
-8.074857801652893,-34.900002392156864,652.0
-8.068830694214876,-34.89680195098039,2036.0
-8.071241537190083,-34.90277610784314,477.0
-8.07078950413223,-34.89765540196078,1433.0
-8.070488148760331,-34.89701531372549,1969.0
-8.071994925619835,-34.89168124509804,1229.0
-8.070638826446281,-34.89104115686274,654.0
-8.069584082644628,-34.89765540196078,1660.0
-8.074857801652893,-34.89850885294118,11.0
-8.070488148760331,-34.88954761764706,1422.0
-8.07078950413223,-34.888054078431374,2148.0
-8.073501702479339,-34.90042911764706,12.0
-8.067022561983471,-34.89872221568628,2272.0
-8.072446958677686,-34.896161862745096,2530.0
-8.073501702479339,-34.89872221568628,1020.0
